DIMENSION
118
NODE_LIST
1	17.454933 78.447853
2	17.452453 78.435905
3	17.447957 78.438147
4	17.442929 78.441063
5	17.444182 78.433084
6	17.439816 78.431904
7	17.436488 78.428057
8	17.433965 78.426978
9	17.435435 78.411497
10	17.440803 78.505102
11	17.443608 78.490643
12	17.443364 78.482125
13	17.443485 78.476141
14	17.444013 78.471697
15	17.442557 78.458990
16	17.436248 78.456117
17	17.422661 78.449512
18	17.426419 78.438381
19	17.430223 78.436208
20	17.396935 78.478855
21	17.401240 78.519014
22	17.398884 78.512700
23	17.392782 78.508793
24	17.395421 78.502457
25	17.392341 78.496847
26	17.399441 78.491870
27	17.401982 78.483967
28	17.406038 78.478613
29	17.386526 78.439891
30	17.389057 78.439861
31	17.391423 78.441685
32	17.398729 78.444847
33	17.442222 78.443875
34	17.443378 78.444728
35	17.445230 78.448528
36	17.447168 78.449254
37	17.434934 78.450407
38	17.432808 78.450327
39	17.436269 78.444143
40	17.437061 78.439927
41	17.436346 78.435797
42	17.433912 78.424641
43	17.420492 78.456133
44	17.411113 78.455696
45	17.412191 78.459330
46	17.415962 78.457717
47	17.419023 78.447894
48	17.419192 78.443157
49	17.421869 78.432643
50	17.423579 78.427701
51	17.466957 78.428907
52	17.469934 78.427320
53	17.479277 78.418289
54	17.480301 78.417165
55	17.494275 78.411162
56	17.496922 78.397383
57	17.492924 78.393675
58	17.488201 78.391694
59	17.484296 78.390237
60	17.477235 78.392131
61	17.476728 78.385408
62	17.447234 78.390904
63	17.350746 78.418446
64	17.370489 78.429183
65	17.395525 78.431016
66	17.394946 78.438956
67	17.398729 78.444847
68	17.398890 78.449623
69	17.395036 78.453891
70	17.394503 78.451778
71	17.450535 78.424933
72	17.448347 78.429150
73	17.444261 78.433094
74	17.436596 78.432413
75	17.503709 78.387964
76	17.498475 78.389173
77	17.496606 78.361872
78	17.493928 78.350355
79	17.492787 78.337422
80	17.464032 78.367223
81	17.458767 78.367137
82	17.453872 78.379219
83	17.444905 78.386376
84	17.443745 78.387295
85	17.456703 78.428306
86	17.454185 78.434491
87	17.456247 78.422159
88	17.456852 78.423252
89	17.439957 78.424078
90	17.436488 78.428057
91	17.409325 78.372384
92	17.407325 78.392617
93	17.413023 78.394763
94	17.435201 78.367471
95	17.431985 78.363791
96	17.442037 78.357924
97	17.460077 78.337465
98	17.461950 78.351316
99	17.458767 78.367137
100	17.441156 78.391090
101	17.436600 78.452582
102	17.421358 78.451896
103	17.419537 78.456751
104	17.430178 78.435782
105	17.427959 78.430617
106	17.429760 78.427575
107	17.433942 78.421964
108	17.439330 78.405644
109	17.395499 78.502396
110	17.401148 78.507690
111	17.404642 78.502365
112	17.407301 78.494938
113	17.411664 78.481750
114	17.403469 78.465341
115	17.403630 78.456008
116	17.404040 78.452173
117	17.407649 78.440961
118	17.394175 78.441607
CARDINALITY 
7
ARC_LIST
4 5 4555
6 8 999
4 6 3442
1 4 9965
7 8 1212
19 35 4343
101 118 3434
END
